"Issue Type","Custom field (Patch Info)","Issue key","Issue id","Parent id","Summary","Assignee","Reporter","Priority","Status","Resolution","Created","Updated","Due Date"
"Bug",,"CAMEL-12780","13183186",,"Regression in Camel Salesforce - consumer blocks producer in same route","dhirajsb","dhirajsb","Blocker","Closed","Fixed","05/Sep/18 16:49","18/Sep/18 10:23",
"Bug",,"CAMEL-6927","12677128",,"Bean Transformer throwing org.apache.camel.TypeConversionException: Error during type conversion from type: due argument type mismatch","jwcarman","sreepanchajanyam","Blocker","Closed","Not A Problem","01/Nov/13 18:47","06/Nov/13 17:46",
"New Feature",,"CAMEL-12955","13200504",,"Create a Camel-ChatScript component","ancosen","Varun Krish","Major","Resolved","Fixed","26/Nov/18 08:44","01/Mar/19 13:22",
"Improvement",,"CAMEL-13025","13205829",,"camel-core - File read lock changed - If file gets deleted then break out loop","davsclaus","davsclaus","Major","Resolved","Fixed","20/Dec/18 22:24","23/Dec/18 08:19",
"New Feature",,"CAMEL-12815","13185357",,"A new Component IOTA","fabryprog","fabryprog","Major","Resolved","Fixed","16/Sep/18 10:19","18/Dec/18 08:35",
"New Feature",,"CAMEL-12721","13177960",,"camel-zipkin - Add support for easy enabling of logging integration","ramu11","davsclaus","Major","Resolved","Fixed","09/Aug/18 11:46","13/Dec/18 11:45",
"New Feature",,"CAMEL-12954","13200202",,"Add a camel-websocket component 100% using only JSR356","ancosen","romain.manni-bucau","Major","Resolved","Fixed","23/Nov/18 08:06","13/Dec/18 09:37",
"Improvement","Patch Available","CAMEL-12979","13202297",,"Service beans with custom lifecycle on CxfRsEndpoint","onders","jensgr@gmx.net","Major","Resolved","Fixed","04/Dec/18 16:03","05/Dec/18 20:55",
"Improvement",,"CAMEL-12967","13201578",,"Google sheets: Split value range result stream to separate exchanges per row","ancosen","christophd","Major","Resolved","Fixed","30/Nov/18 09:37","30/Nov/18 10:43",
"Improvement",,"CAMEL-12723","13178203",,"Camel ftp component does not support  IPV6",,"ggcinsens","Major","Reopened",,"10/Aug/18 07:20","16/Nov/18 09:48",
"Improvement",,"CAMEL-12931","13197768",,"Upgrade jBPM component to use 7 series with consumer capability to react to produced events by jBPM","ancosen","swiderski.maciej","Major","Resolved","Fixed","12/Nov/18 11:54","13/Nov/18 07:14",
"Bug",,"CAMEL-12873","13190556",,"camel-servlet - Example for HttpRegistry no longer works throwing FinalModifierException","tadayosi","tadayosi","Major","Resolved","Fixed","10/Oct/18 04:15","10/Oct/18 08:29",
"New Feature",,"CAMEL-5558","12605963",,"Add fileExist option to write file with a new name in case file already exists","onders","davsclaus","Major","Resolved","Fixed","03/Sep/12 07:07","02/Oct/18 06:16",
"New Feature",,"CAMEL-6840","12672924",,"Allow Throttler EIP to specify SLA per client/correlated-group","onders","ceposta","Major","Resolved","Implemented","08/Oct/13 23:31","14/Sep/18 13:46",
"Improvement",,"CAMEL-12751","13181252",,"http producer - Ignore content length header","ancosen","davsclaus","Major","Resolved","Fixed","27/Aug/18 07:39","06/Sep/18 08:13",
"Improvement",,"CAMEL-12320","13142458",,"camel-restlet - Should match better on uri pattern and return 404 for invalid urls","ramu11","davsclaus","Major","Resolved","Fixed","05/Mar/18 10:08","06/Sep/18 05:47",
"Improvement",,"CAMEL-12714","13177415",,"support handlers in cxf payload data format without SEI","davsclaus","pvdbosch","Major","Resolved","Fixed","07/Aug/18 14:10","08/Aug/18 08:08",
"New Feature",,"CAMEL-12651","13172203",,"Allow to override serializing and deserializing default mechanism for kafka headers","ancosen","tdanylchuk","Major","Resolved","Fixed","14/Jul/18 15:10","18/Jul/18 07:34",
"Improvement",,"CAMEL-12554","13163790",,"camel-geocoder - Use new API","onders","davsclaus","Major","Resolved","Fixed","04/Jun/18 09:52","11/Jul/18 06:10",
"New Feature",,"CAMEL-12503","13158506",,"Kafka component should be able to propagate camel headers to kafka","davsclaus","tdanylchuk","Major","Resolved","Fixed","10/May/18 15:43","09/Jul/18 06:22",
"Bug",,"CAMEL-12613","13169536",,"Camel file endpoint loses modification date and length information when preMove is used","jpoth","jpoth","Major","Resolved","Fixed","02/Jul/18 13:49","04/Jul/18 07:01",
"New Feature",,"CAMEL-11257","13070840",,"Provide AS2 component to support Business Data Interchange Using HTTP","punkhorn","punkhorn","Major","Resolved","Fixed","10/May/17 14:52","03/Jul/18 06:08",
"New Feature",,"CAMEL-11600","13090138",,"camel-micrometer - Add support for micrometer for metrics capture","ancosen","davsclaus","Major","Resolved","Fixed","26/Jul/17 08:45","17/May/18 09:55",
"Improvement","Patch Available","CAMEL-10803","13041056",,"Base undertow component on http-common","zregvart","zregvart","Major","Open",,"07/Feb/17 17:59","11/May/18 10:38",
"Improvement",,"CAMEL-12442","13152208",,"rest-dsl - Rest producer should use RestConfiguration","davsclaus","davsclaus","Major","Resolved","Fixed","13/Apr/18 08:12","03/May/18 07:49",
"Bug",,"CAMEL-12418","13149955",,"camel-consul - High CPU load on events watching","davsclaus","Viachaslau.Tsikhanovich","Major","Resolved","Fixed","04/Apr/18 10:48","18/Apr/18 07:39",
"Improvement",,"CAMEL-12440","13152103",,"Upgrade camel-dozer to 6.2","ancosen","garethahealy","Major","Resolved","Fixed","12/Apr/18 22:32","13/Apr/18 08:29",
"New Feature",,"CAMEL-12288","13140508",,"Need method call feature for milo client component","dentrassi","herleraja","Major","Resolved","Fixed","23/Feb/18 14:27","26/Mar/18 07:20",
"New Feature",,"CAMEL-12221","13135471",,"Let's create a camel-fhir component","jpoth","jpoth","Major","Resolved","Fixed","01/Feb/18 16:11","06/Mar/18 12:39",
"Improvement",,"CAMEL-12192","13133595",,"BindyCsvDataFormat does not support skip fields","davsclaus","neoxu999","Major","Resolved","Fixed","25/Jan/18 06:02","01/Feb/18 09:57",
