Parameter Mu_Star Mu Mu_Star_Conf Sigma
cd560 0.000 0.000 0.000 0.000
cd681 0.000 0.000 0.000 0.000
cd321 0.000 0.000 0.000 0.000
cd565 0.000 0.000 0.000 0.000
ud306 0.001 0.001 0.000 0.000
cd567 0.000 0.000 0.000 0.000
cd446 0.000 0.000 0.000 0.000
cd448 0.000 0.000 0.000 0.000
cd209 0.000 0.000 0.000 0.000
cd792 0.000 0.000 0.000 0.000
cd670 0.000 0.000 0.000 0.000
cd430 0.000 0.000 0.000 0.000
cd672 0.000 0.000 0.000 0.000
cd433 0.000 0.000 0.000 0.000
cd311 0.000 0.000 0.000 0.000
cd553 0.000 0.000 0.000 0.000
cd795 0.000 0.000 0.000 0.000
cd318 0.000 0.000 0.000 0.000
ud677 0.000 0.000 0.000 0.000
ud793 0.000 0.000 0.000 0.000
cd24 0.000 0.000 0.000 0.000
cd22 0.001 0.001 0.000 0.000
cd222 0.000 0.000 0.000 0.000
cd463 0.000 0.000 0.000 0.000
cd587 0.000 0.000 0.000 0.000
cd466 0.000 0.000 0.000 0.000
cd226 0.000 0.000 0.000 0.000
ud447 0.004 0.004 0.000 0.000
cd348 0.001 0.001 0.000 0.000
cd109 0.000 0.000 0.000 0.000
cd691 0.000 0.000 0.000 0.000
cd690 0.000 0.000 0.000 0.000
cd10 0.000 0.000 0.000 0.000
cd11 0.000 0.000 0.000 0.000
cd450 0.000 0.000 0.000 0.000
cd578 0.000 0.000 0.000 0.000
cd698 0.000 0.000 0.000 0.000
cd577 0.000 0.000 0.000 0.000
cd218 0.000 0.000 0.000 0.000
hl759 0.002 0.002 0.000 0.000
cd48 0.000 0.000 0.000 0.000
cd45 0.000 0.000 0.000 0.000
cd52 0.000 0.000 0.000 0.000
cd640 0.000 0.000 0.000 0.000
cd881 0.000 0.000 0.000 0.000
cd765 0.000 0.000 0.000 0.000
cd885 0.000 0.000 0.000 0.000
cd404 0.000 0.000 0.000 0.000
cd646 0.000 0.000 0.000 0.000
cd769 0.000 0.000 0.000 0.000
ud620 0.000 0.000 0.000 0.000
cd191 0.000 0.000 0.000 0.000
cd871 0.001 0.001 0.000 0.000
cd870 0.000 0.000 0.000 0.000
cd510 0.000 0.000 0.000 0.000
cd873 0.000 0.000 0.000 0.000
cd630 0.000 0.000 0.000 0.000
cd754 0.000 0.000 0.000 0.000
cd874 0.000 0.000 0.000 0.000
cd876 0.000 0.000 0.000 0.000
cd637 0.001 0.001 0.000 0.000
ud18 0.000 0.000 0.000 0.000
cd68 0.001 0.001 0.000 0.000
cd660 0.000 0.000 0.000 0.000
cd66 0.000 0.000 0.000 0.000
cd783 0.000 0.000 0.000 0.000
cd420 0.000 0.000 0.000 0.000
cd301 0.000 0.000 0.000 0.000
cd666 0.000 0.000 0.000 0.000
cd547 0.000 0.000 0.000 0.000
cd426 0.000 0.000 0.000 0.000
cd788 0.000 0.000 0.000 0.000
cd669 0.000 0.000 0.000 0.000
cd59 0.000 0.000 0.000 0.000
cd62 0.000 0.000 0.000 0.000
cd776 0.000 0.000 0.000 0.000
cd413 0.000 0.000 0.000 0.000
cd655 0.000 0.000 0.000 0.000
ud659 0.002 0.002 0.000 0.000
cd535 0.000 0.000 0.000 0.000
cd414 0.000 0.000 0.000 0.000
cd416 0.000 0.000 0.000 0.000
cd658 0.000 0.000 0.000 0.000
cd161 0.000 0.000 0.000 0.000
cd288 0.000 0.000 0.000 0.000
cd94 0.000 0.000 0.000 0.000
cd93 0.000 0.000 0.000 0.000
cd722 0.000 0.000 0.000 0.000
ud32 0.000 0.000 0.000 0.000
cd845 0.000 0.000 0.000 0.000
cd603 0.000 0.000 0.000 0.000
cd848 0.000 0.000 0.000 0.000
cd847 0.001 0.001 0.000 0.000
cd607 0.000 0.000 0.000 0.000
ud26 0.000 0.000 0.000 0.000
cd392 0.000 0.000 0.000 0.000
cd273 0.000 0.000 0.000 0.000
cd272 0.001 0.001 0.000 0.000
cd393 0.001 0.001 0.000 0.000
cd277 0.000 0.000 0.000 0.000
cd279 0.000 0.000 0.000 0.000
cd83 0.000 0.000 0.000 0.000
cd84 0.000 0.000 0.000 0.000
cd712 0.000 0.000 0.000 0.000
cd835 0.000 0.000 0.000 0.000
cd836 0.000 0.000 0.000 0.000
cd718 0.001 0.001 0.000 0.000
cd182 0.000 0.000 0.000 0.000
cd862 0.001 0.001 0.000 0.000
cd861 0.000 0.000 0.000 0.000
cd501 0.000 0.000 0.000 0.000
cd503 0.000 0.000 0.000 0.000
cd505 0.001 0.001 0.000 0.000
cd746 0.000 0.000 0.000 0.000
cd625 0.001 0.001 0.000 0.000
cd627 0.000 0.000 0.000 0.000
cd174 0.000 0.000 0.000 0.000
cd173 0.000 0.000 0.000 0.000
cd176 0.000 0.000 0.000 0.000
cd177 0.000 0.000 0.000 0.000
cd730 0.000 0.000 0.000 0.000
cd612 0.000 0.000 0.000 0.000
cd736 0.000 0.000 0.000 0.000
cd857 0.000 0.000 0.000 0.000
cd616 0.000 0.000 0.000 0.000
cd246 0.001 0.001 0.000 0.000
cd921 0.000 0.000 0.000 0.000
ud228 0.000 0.000 0.000 0.000
cd249 0.000 0.000 0.000 0.000
hl104 0.012 0.012 0.000 0.000
cd808 0.000 0.000 0.000 0.000
cd807 0.000 0.000 0.000 0.000
ud481 0.000 0.000 0.000 0.000
cd908 0.000 0.000 0.000 0.000
cd473 0.000 0.000 0.000 0.000
cd351 0.000 0.000 0.000 0.000
cd472 0.000 0.000 0.000 0.000
cd475 0.000 0.000 0.000 0.000
cd596 0.000 0.000 0.000 0.000
cd232 0.001 0.001 0.000 0.000
cd114 0.000 0.000 0.000 0.000
cd234 0.000 0.000 0.000 0.000
cd113 0.000 0.000 0.000 0.000
