Parameter S1 S1_conf ST ST_conf
cd560 0.000096 0.000706 0.000089 0.000006
cd681 0.000107 0.000386 0.000030 0.000002
cd321 -0.000010 0.000255 0.000014 0.000001
cd565 0.000010 0.000234 0.000011 0.000001
ud306 0.000152 0.000960 0.000173 0.000013
cd567 0.000027 0.000139 0.000004 0.000000
cd446 0.000039 0.000341 0.000024 0.000002
cd448 -0.000003 0.000046 0.000000 0.000000
cd209 0.000033 0.000075 0.000001 0.000000
cd792 -0.000003 0.000039 0.000000 0.000000
cd670 0.000057 0.000333 0.000023 0.000002
cd430 -0.000027 0.000422 0.000037 0.000003
cd672 0.000003 0.000017 0.000000 0.000000
cd433 0.000089 0.000449 0.000042 0.000003
cd311 -0.000002 0.000427 0.000036 0.000003
cd553 0.000212 0.000569 0.000060 0.000004
cd795 0.000052 0.000320 0.000021 0.000002
cd318 0.000035 0.000075 0.000001 0.000000
ud677 0.000011 0.000628 0.000079 0.000006
ud793 0.000224 0.000598 0.000067 0.000005
cd24 0.000096 0.000636 0.000079 0.000006
cd22 0.000170 0.000750 0.000111 0.000008
cd222 0.000010 0.000165 0.000005 0.000000
cd463 0.000014 0.000314 0.000020 0.000001
cd587 -0.000011 0.000075 0.000001 0.000000
cd466 -0.000008 0.000096 0.000002 0.000000
cd226 0.000147 0.000137 0.000004 0.000000
ud447 0.006288 0.006386 0.007770 0.000565
cd348 0.000082 0.000750 0.000108 0.000008
cd109 0.000020 0.000146 0.000004 0.000000
cd691 -0.000173 0.000077 0.000001 0.000000
cd690 0.000030 0.000504 0.000049 0.000004
cd10 0.000000 0.000104 0.000002 0.000000
cd11 0.000010 0.000041 0.000000 0.000000
cd450 -0.000011 0.000025 0.000000 0.000000
cd578 0.000081 0.000756 0.000101 0.000007
cd698 0.000027 0.000247 0.000014 0.000001
cd577 0.000016 0.000152 0.000004 0.000000
cd218 0.000097 0.000269 0.000014 0.000001
hl759 0.001141 0.002417 0.001128 0.000083
cd48 0.000034 0.000350 0.000022 0.000002
cd45 0.000001 0.000026 0.000000 0.000000
cd52 0.000251 0.000692 0.000089 0.000007
cd640 0.000078 0.000151 0.000005 0.000000
cd881 0.000007 0.000134 0.000004 0.000000
cd765 -0.000038 0.000231 0.000010 0.000001
cd885 0.000024 0.000261 0.000013 0.000001
cd404 0.000112 0.000133 0.000004 0.000000
cd646 0.000090 0.000466 0.000040 0.000003
cd769 0.000092 0.000624 0.000079 0.000005
ud620 0.000006 0.000340 0.000022 0.000002
cd191 0.000049 0.000523 0.000049 0.000003
cd871 0.000411 0.001461 0.000432 0.000031
cd870 0.000050 0.000639 0.000079 0.000006
cd510 0.000006 0.000231 0.000009 0.000001
cd873 0.000003 0.000202 0.000009 0.000001
cd630 0.000028 0.000178 0.000006 0.000000
cd754 0.000030 0.000637 0.000078 0.000006
cd874 0.000084 0.000564 0.000059 0.000004
cd876 0.000125 0.000611 0.000078 0.000006
cd637 -0.000365 0.000794 0.000118 0.000009
ud18 0.000002 0.000041 0.000000 0.000000
cd68 0.000105 0.000783 0.000122 0.000009
cd660 0.000010 0.000496 0.000050 0.000004
cd66 -0.000005 0.000070 0.000001 0.000000
cd783 0.000232 0.000641 0.000078 0.000006
cd420 -0.000001 0.000028 0.000000 0.000000
cd301 0.000006 0.000146 0.000004 0.000000
cd666 0.000122 0.000576 0.000063 0.000004
cd547 0.000024 0.000270 0.000013 0.000001
cd426 0.000071 0.000285 0.000016 0.000001
cd788 0.000080 0.000116 0.000003 0.000000
cd669 0.000001 0.000201 0.000008 0.000001
cd59 0.000002 0.000036 0.000000 0.000000
cd62 -0.000016 0.000102 0.000002 0.000000
cd776 0.000039 0.000205 0.000008 0.000001
cd413 0.000020 0.000558 0.000061 0.000004
cd655 -0.000000 0.000496 0.000049 0.000004
ud659 0.001884 0.003053 0.001822 0.000128
cd535 0.000044 0.000281 0.000015 0.000001
cd414 0.000001 0.000097 0.000002 0.000000
cd416 0.000024 0.000200 0.000008 0.000001
cd658 0.000097 0.000371 0.000027 0.000002
cd161 0.000034 0.000424 0.000035 0.000003
cd288 0.000095 0.000681 0.000093 0.000007
cd94 -0.000008 0.000033 0.000000 0.000000
cd93 -0.000052 0.000227 0.000011 0.000001
cd722 0.000050 0.000131 0.000003 0.000000
ud32 0.000032 0.000197 0.000008 0.000001
cd845 -0.000084 0.000148 0.000004 0.000000
cd603 0.000114 0.000600 0.000067 0.000005
cd848 0.000000 0.000025 0.000000 0.000000
cd847 0.000176 0.000791 0.000123 0.000009
cd607 0.000016 0.000632 0.000073 0.000005
ud26 0.000000 0.000000 0.000000 0.000000
cd392 -0.000139 0.000377 0.000026 0.000002
cd273 -0.000031 0.000226 0.000010 0.000001
cd272 0.000201 0.000854 0.000141 0.000010
cd393 0.000301 0.001129 0.000252 0.000018
cd277 0.000003 0.000025 0.000000 0.000000
cd279 0.000006 0.000037 0.000000 0.000000
cd83 -0.000002 0.000036 0.000000 0.000000
cd84 -0.000004 0.000184 0.000006 0.000000
cd712 0.000012 0.000047 0.000000 0.000000
cd835 -0.000000 0.000213 0.000009 0.000001
cd836 -0.000038 0.000303 0.000017 0.000001
cd718 0.000066 0.000830 0.000129 0.000009
cd182 0.000004 0.000083 0.000001 0.000000
cd862 0.000002 0.000846 0.000136 0.000010
cd861 -0.000004 0.000205 0.000008 0.000001
cd501 -0.000023 0.000117 0.000003 0.000000
cd503 0.000001 0.000070 0.000001 0.000000
cd505 0.000073 0.000814 0.000128 0.000009
cd746 -0.000032 0.000168 0.000005 0.000000
cd625 0.000254 0.001225 0.000292 0.000021
cd627 -0.000026 0.000184 0.000007 0.000000
cd174 0.000026 0.000323 0.000021 0.000002
cd173 0.000019 0.000260 0.000014 0.000001
cd176 0.000072 0.000586 0.000060 0.000004
cd177 0.000030 0.000259 0.000013 0.000001
cd730 0.000153 0.000573 0.000072 0.000005
cd612 0.000001 0.000273 0.000013 0.000001
cd736 0.000073 0.000630 0.000078 0.000006
cd857 0.000041 0.000104 0.000002 0.000000
cd616 0.000359 0.000330 0.000023 0.000002
cd246 0.000335 0.001174 0.000254 0.000019
cd921 0.000194 0.000707 0.000097 0.000007
ud228 0.000006 0.000197 0.000008 0.000001
cd249 0.000015 0.000410 0.000031 0.000002
hl104 0.065588 0.017103 0.065438 0.004688
cd808 -0.000029 0.000159 0.000005 0.000000
cd807 -0.000006 0.000573 0.000060 0.000004
ud481 0.000002 0.000485 0.000049 0.000003
cd908 0.000003 0.000200 0.000008 0.000001
cd473 -0.000011 0.000106 0.000002 0.000000
cd351 0.000000 0.000000 0.000000 0.000000
