type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
cd,org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf.interceptor_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,134.0,-Infinity,-Infinity,
cd,org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf.interceptor_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,63.62321436722847,-Infinity,-Infinity,
cd,org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf.interceptor_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.0,-Infinity,-Infinity,
cd,org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf.interceptor_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,323.0,-Infinity,-Infinity,
cd,org.apache.cxf.service.factory;org.apache.cxf.wsdl11_SeverityScore,25.0,25.0,126.0,32.0,93.0,170.0,218.0,41.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.factory;org.apache.cxf.wsdl11_PageRank,11.23992479761434,11.58710296343142,12.03005053219665,16.146959987323598,17.10432408183925,17.26676971022216,10.520858312759863,10.565693127369222,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.factory;org.apache.cxf.wsdl11_NumSetOfElement,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.factory;org.apache.cxf.wsdl11_TotNumOfSetOfElement,329.0,457.0,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.utils_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,310.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.utils_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,13.802421983960866,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.utils_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,3.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.utils_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,746.0,-Infinity,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.tools.common.model_SeverityScore,47.0,53.0,65.0,69.0,76.0,63.0,45.0,49.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.tools.common.model_PageRank,21.144729796423476,25.003340050358425,26.505942626926288,28.192601662951596,29.243062942722062,11.409163816230171,6.784801659053654,6.910730031890488,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.tools.common.model_NumSetOfElement,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.tools.common.model_TotNumOfSetOfElement,329.0,457.0,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.service;org.apache.cxf.service.model;org.apache.cxf.ws.addressing_SeverityScore,-Infinity,-Infinity,-Infinity,345.0,351.0,435.0,449.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.service;org.apache.cxf.service.model;org.apache.cxf.ws.addressing_PageRank,-Infinity,-Infinity,-Infinity,53.01940312511629,57.04237267826949,59.10389110135269,56.88842669569218,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.service;org.apache.cxf.service.model;org.apache.cxf.ws.addressing_NumSetOfElement,-Infinity,-Infinity,-Infinity,5.0,5.0,5.0,5.0,-Infinity,-Infinity,-Infinity,-Infinity,
