Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,CXF-7516,13104568,wsdl2java JDK9 - Missing class javax/xml/bind/annotation/adapters/HexBinaryAdapter,ffang,jhack,Blocker,Resolved,Information Provided,24/Sep/17 10:13,01/Oct/17 14:50,
Bug,CXF-6382,12826623,javax.xml.ws.WebServiceException: java.lang.NullPointerException,,pankajmkjoshi,Blocker,Closed,Incomplete,01/May/15 19:05,31/03/2017 19:37,
Bug,CXF-6613,12901028,java.lang.NoSuchFieldError: REFLECTION in CFX 3.1.4-SNAPSHOT,,h3x0r,Blocker,Closed,Fixed,28/Sep/15 14:30,26/Oct/15 09:47,
Bug,CXF-5933,12732642,Maven cxf-java2ws-plugin CXF Stack Overflow,,SteveWest,Blocker,Closed,Fixed,07/Aug/14 19:05,13/11/2014 04:47,
Bug,CXF-5655,12703933,Client facing issue in catching exception thrown by server in CXF RS 2.7.0,sergey_beryozkin,sanmitra,Blocker,Closed,Fixed,27/03/2014 09:12,11/Jul/14 12:50,
Bug,CXF-4606,12614055,cxf-codegen-plugin doesn't works if Maven repository's path contain spaces,ffang,beppegg,Blocker,Closed,Fixed,30/Oct/12 17:36,19/Dec/12 14:38,
Bug,CXF-4050,12539135,Wrong activator specified for CXF bundle ,chris@die-schneider.net,amarkevich,Blocker,Closed,Fixed,20/Jan/12 13:45,25/Jan/12 09:42,
Bug,CXF-3050,12476818,java.lang.NoClassDefFoundError using Maven 3 and org.apache.cxf:cxf-java2ws-plugin:2.2.10:java2ws,,vsiveton,Blocker,Closed,Fixed,08/Oct/10 01:45,25/Aug/11 21:59,
Bug,CXF-7830,13181921,cxf-java2ws-plugin command too long (because of -cp argument),ffang,fwangel,Critical,Resolved,Fixed,29/Aug/18 13:36,10/Sep/18 06:51,
Bug,CXF-7751,13163476,Codegen plugin can't work with empty extraarg tag,dkulp,Pushkin,Critical,Resolved,Fixed,01/Jun/18 16:35,04/Jun/18 23:49,
Bug,CXF-3212,12493839,wsdl2java code generation problem,,sunny8875,Critical,Closed,Fixed,22/Dec/10 07:55,18/04/2011 12:50,
Bug,CXF-3247,12495689,CXF JAX-RS does not recognize MessageBodyReader/MessageBodyWriter with no generic parameters,sergey_beryozkin,gmazza,Critical,Closed,Fixed,15/Jan/11 22:38,21/Jan/11 18:14,
Bug,CXF-2168,12422586,"IllegalAnnotationException on Collection properties, Getter must return ""Collection"", Setter must take ""List"" as parameter",,vividapp,Critical,Closed,Won't Fix,10/04/2009 17:38,04/Dec/09 22:38,
Bug,CXF-6747,12929941,XSD to Java problem with enums,dkulp,dslivka,Major,Closed,Workaround,13/Jan/16 20:33,04/03/2019 07:38,
Bug,CXF-7928,13204107,Apache CXF wsdl2java,,wnofer,Major,Closed,Unresolved,12/Dec/18 21:55,07/Jan/19 13:35,
Bug,CXF-7421,13081470,Unable to build cxf-core,,aduros,Major,Closed,Invalid,21/Jun/17 16:02,18/Dec/18 12:43,
Bug,CXF-7905,13200230,JAXBUtils fails to setEscapeHandler due to null escapeHandler,ffang,thorsten.hersam,Major,Resolved,Fixed,23/11/2018 11:40,27/11/2018 03:51,
Test,CXF-7810,13175655,SAML Assertion Cookie persistence - configurable to not persist across browser restarts,coheigea,ranusuri,Major,Closed,Fixed,30/Jul/18 19:27,30/Oct/18 10:05,
Bug,CXF-7836,13183636,Stax2 version conflict,coheigea,sabomichal,Major,Closed,Fixed,07/Sep/18 13:36,30/Oct/18 10:05,
Bug,CXF-7823,13180369,JAXBEncoderDecoder doesn't respect @XmlType's propOrder in Exception class,ema,ema,Major,Closed,Fixed,22/Aug/18 03:30,03/Oct/18 13:33,
Bug,CXF-6324,12786994,cxf-codegen-plugin|cxf-java2ws-plugin: classifier ignored when there are more then one wsdl with different classifier is involved,ffang,lvcido,Major,Resolved,Fixed,31/03/2015 11:12,27/Sep/18 10:18,
Improvement,CXF-5052,12650386,Classpath references should be understood using wsdlRoot batch processing options in cxf-codegen,,zmelnick,Major,Open,,31/May/13 19:17,18/Sep/18 09:53,
Bug,CXF-7620,13133142,3.0.11 cxf-xjc-plugin generate goal wont generate .java files,,mgainty@hotmail.com,Major,Resolved,Information Provided,23/Jan/18 18:31,13/Sep/18 11:56,
Bug,CXF-7714,13153311,Codegen-Plugin no longer works with Toolchains,ffang,deki,Major,Resolved,Fixed,18/04/2018 09:56,10/Sep/18 08:54,
Improvement,CXF-7735,13156930,CXF does not build on Windows 10,ffang,rsearls,Major,Resolved,Duplicate,03/May/18 17:34,10/Sep/18 06:51,
New Feature,CXF-7673,13144173,Implement MicroProfile Rest Client 1.1,andymc,johndament,Major,Resolved,Fixed,11/03/2018 17:17,01/Aug/18 22:08,
Improvement,CXF-7757,13165522,Upgrade bouncycastle dependency to fix vulnerability,coheigea,dominiquejb,Major,Resolved,Not A Problem,12/Jun/18 09:05,26/Jul/18 14:17,
Bug,CXF-7658,13140932,SSE destinations unreachable deployed in OSGi,reta,LWysocki,Major,Resolved,Fixed,26/02/2018 14:58,20/Jul/18 10:52,
Bug,CXF-7758,13165530,MTOM + SchemaValidation results in empty input stream from data handler,,thofman,Major,Resolved,Fixed,12/Jun/18 09:30,13/Jul/18 14:40,
Improvement,CXF-7750,13163417,cxf parent pom should have dependencyManagement entries for cxf artifacts,ffang,tcunning,Major,Resolved,Fixed,01/Jun/18 12:15,14/Jun/18 09:21,
Bug,CXF-6459,12837224,Memory leak (3.1.0) in Tomcat,,neilw1,Major,Closed,Duplicate,11/Jun/15 20:08,14/Jun/18 09:08,
