Parameter Mu_Star Mu Mu_Star_Conf Sigma
org.apache.cxf.annotations 0.000 0.000 0.000 0.000
org.apache.cxf.interceptor 0.006 0.006 0.000 0.000
org.apache.cxf.extension 0.000 0.000 0.000 0.000
org.apache.cxf.validation 0.000 0.000 0.000 0.000
org.apache.cxf.common 0.001 0.001 0.000 0.000
org.apache.cxf.continuations 0.000 0.000 0.000 0.000
org.apache.cxf.management 0.000 0.000 0.000 0.000
org.apache.cxf.message 0.003 0.003 0.000 0.000
org.apache.cxf.catalog 0.000 0.000 0.000 0.000
org.apache.cxf.service 0.001 0.001 0.000 0.000
org.apache.cxf.security 0.000 0.000 0.000 0.000
org.apache.cxf.transport 0.003 0.003 0.000 0.000
org.apache.cxf.bus 0.000 0.000 0.000 0.000
org.apache.cxf.policy 0.000 0.000 0.000 0.000
org.apache.cxf.phase 0.002 0.002 0.000 0.000
org.apache.cxf.databinding 0.001 0.001 0.000 0.000
org.apache.cxf.attachment 0.000 0.000 0.000 0.000
org.apache.cxf 0.009 0.009 0.000 0.000
org.apache.cxf.endpoint 0.005 0.005 0.000 0.000
org.apache.cxf.internal 0.000 0.000 0.000 0.000
org.apache.cxf.version 0.000 0.000 0.000 0.000
vorg.apache.cxf.wsdl.http 0.000 0.000 0.000 0.000
org.apache.cxf.configuration 0.000 0.000 0.000 0.000
org.apache.cxf.logging 0.000 0.000 0.000 0.000
org.apache.cxf.helpers 0.000 0.000 0.000 0.000
org.apache.cxf.binding 0.002 0.002 0.000 0.000
org.apache.cxf.ws.addressing 0.000 0.000 0.000 0.000
org.apache.cxf.feature 0.001 0.001 0.000 0.000
