Parameter Mu_Star Mu Mu_Star_Conf Sigma
cd321 0.000 0.000 0.000 0.000
cd563 0.000 0.000 0.000 0.000
cd562 0.000 0.000 0.000 0.000
cd323 0.000 0.000 0.000 0.000
cd564 0.000 0.000 0.000 0.000
cd204 0.000 0.000 0.000 0.000
cd203 0.000 0.000 0.000 0.000
cd687 0.000 0.000 0.000 0.000
cd206 0.000 0.000 0.000 0.000
cd327 0.000 0.000 0.000 0.000
cd326 0.000 0.000 0.000 0.000
cd329 0.000 0.000 0.000 0.000
cd209 0.000 0.000 0.000 0.000
cd790 0.000 0.000 0.000 0.000
cd673 0.000 0.000 0.000 0.000
cd554 0.000 0.000 0.000 0.000
cd796 0.000 0.000 0.000 0.000
cd795 0.000 0.000 0.000 0.000
cd314 0.000 0.000 0.000 0.000
cd435 0.000 0.000 0.000 0.000
cd798 0.000 0.000 0.000 0.000
cd679 0.000 0.000 0.000 0.000
cd678 0.000 0.000 0.000 0.000
cd318 0.000 0.000 0.000 0.000
cd317 0.000 0.000 0.000 0.000
cd581 0.000 0.000 0.000 0.000
cd580 0.000 0.000 0.000 0.000
cd462 0.000 0.000 0.000 0.000
cd220 0.000 0.000 0.000 0.000
cd461 0.000 0.000 0.000 0.000
cd464 0.000 0.000 0.000 0.000
cd585 0.000 0.000 0.000 0.000
cd584 0.000 0.000 0.000 0.000
cd463 0.000 0.000 0.000 0.000
cd224 0.000 0.000 0.000 0.000
cd468 0.000 0.000 0.000 0.000
cd469 0.000 0.000 0.000 0.000
cd106 0.000 0.000 0.000 0.000
cd348 0.000 0.000 0.000 0.000
cd691 0.000 0.000 0.000 0.000
cd571 0.000 0.000 0.000 0.000
cd450 0.000 0.000 0.000 0.000
cd453 0.000 0.000 0.000 0.000
cd210 0.000 0.000 0.000 0.000
cd331 0.000 0.000 0.000 0.000
cd576 0.000 0.000 0.000 0.000
cd454 0.000 0.000 0.000 0.000
cd336 0.000 0.000 0.000 0.000
cd699 0.000 0.000 0.000 0.000
cd457 0.000 0.000 0.000 0.000
cd698 0.000 0.000 0.000 0.000
cd214 0.000 0.000 0.000 0.000
cd339 0.000 0.000 0.000 0.000
ud196 0.000 0.000 0.000 0.000
cd882 0.000 0.000 0.000 0.000
cd640 0.000 0.000 0.000 0.000
cd881 0.000 0.000 0.000 0.000
cd400 0.000 0.000 0.000 0.000
cd883 0.000 0.000 0.000 0.000
cd644 0.000 0.000 0.000 0.000
cd765 0.000 0.000 0.000 0.000
cd646 0.000 0.000 0.000 0.000
cd766 0.000 0.000 0.000 0.000
cd524 0.000 0.000 0.000 0.000
cd406 0.000 0.000 0.000 0.000
cd769 0.000 0.000 0.000 0.000
cd529 0.000 0.000 0.000 0.000
cd649 0.000 0.000 0.000 0.000
cd528 0.000 0.000 0.000 0.000
ud189 0.000 0.000 0.000 0.000
cd871 0.000 0.000 0.000 0.000
cd752 0.001 0.001 0.000 0.000
cd630 0.001 0.001 0.000 0.000
cd512 0.000 0.000 0.000 0.000
cd632 0.000 0.000 0.000 0.000
cd753 0.000 0.000 0.000 0.000
cd635 0.000 0.000 0.000 0.000
cd514 0.001 0.001 0.000 0.000
cd634 0.000 0.000 0.000 0.000
cd513 0.000 0.000 0.000 0.000
cd636 0.000 0.000 0.000 0.000
cd638 0.000 0.000 0.000 0.000
hl737 0.002 0.002 0.000 0.000
ud18 0.000 0.000 0.000 0.000
ud19 0.002 0.002 0.000 0.000
ud14 0.001 0.001 0.000 0.000
cd780 0.000 0.000 0.000 0.000
cd783 0.000 0.000 0.000 0.000
cd541 0.000 0.000 0.000 0.000
cd661 0.000 0.000 0.000 0.000
cd785 0.000 0.000 0.000 0.000
cd300 0.000 0.000 0.000 0.000
cd424 0.000 0.000 0.000 0.000
cd787 0.000 0.000 0.000 0.000
cd545 0.000 0.000 0.000 0.000
cd666 0.000 0.000 0.000 0.000
cd423 0.000 0.000 0.000 0.000
cd786 0.000 0.000 0.000 0.000
cd547 0.000 0.000 0.000 0.000
cd427 0.000 0.000 0.000 0.000
cd651 0.000 0.000 0.000 0.000
cd532 0.000 0.000 0.000 0.000
cd531 0.000 0.000 0.000 0.000
cd413 0.000 0.000 0.000 0.000
cd776 0.000 0.000 0.000 0.000
cd534 0.000 0.000 0.000 0.000
cd775 0.000 0.000 0.000 0.000
cd654 0.000 0.000 0.000 0.000
cd415 0.000 0.000 0.000 0.000
cd778 0.000 0.000 0.000 0.000
cd417 0.000 0.000 0.000 0.000
ud709 0.000 0.000 0.000 0.000
ud829 0.002 0.002 0.000 0.000
ud707 0.004 0.004 0.000 0.000
