Parameter S1 S1_conf ST ST_conf
org.apache.cxf.annotations 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.interceptor 0.170417 0.028173 0.166020 0.012423
org.apache.cxf.extension 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.validation 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.common 0.002683 0.003845 0.003106 0.000228
org.apache.cxf.continuations 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.management 0.000031 0.000175 0.000005 0.000000
org.apache.cxf.message 0.055808 0.016578 0.054497 0.004116
org.apache.cxf.catalog 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.service 0.010295 0.007712 0.011082 0.000827
org.apache.cxf.security 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.transport 0.061476 0.017173 0.062060 0.004770
org.apache.cxf.bus 0.000189 0.000739 0.000116 0.000009
org.apache.cxf.policy 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.phase 0.011929 0.008306 0.013673 0.000982
org.apache.cxf.databinding 0.007173 0.005846 0.007483 0.000593
org.apache.cxf.attachment 0.000002 0.000422 0.000035 0.000003
org.apache.cxf 0.476512 0.046643 0.481570 0.034450
org.apache.cxf.endpoint 0.160607 0.027726 0.160652 0.011226
org.apache.cxf.internal 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.version 0.000000 0.000000 0.000000 0.000000
vorg.apache.cxf.wsdl.http 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.configuration 0.001113 0.001893 0.000673 0.000051
org.apache.cxf.logging 0.000000 0.000000 0.000000 0.000000
org.apache.cxf.helpers 0.000566 0.001776 0.000637 0.000048
org.apache.cxf.binding 0.024971 0.010997 0.023767 0.001801
org.apache.cxf.ws.addressing 0.000756 0.002342 0.001058 0.000080
org.apache.cxf.feature 0.006849 0.006773 0.007356 0.000537
