Parameter S1 S1_conf ST ST_conf
cd321 0.000009 0.000044 0.000000 0.000000
cd563 -0.000006 0.000084 0.000001 0.000000
cd562 0.000000 0.000000 0.000000 0.000000
cd323 -0.000009 0.000079 0.000001 0.000000
cd564 0.000005 0.000091 0.000002 0.000000
cd204 0.000006 0.000066 0.000001 0.000000
cd203 0.000054 0.000123 0.000003 0.000000
cd687 0.000002 0.000170 0.000006 0.000000
cd206 0.000000 0.000237 0.000011 0.000001
cd327 -0.000027 0.000133 0.000004 0.000000
cd326 -0.000001 0.000046 0.000000 0.000000
cd329 0.000005 0.000174 0.000006 0.000000
cd209 0.000007 0.000032 0.000000 0.000000
cd790 -0.000006 0.000220 0.000009 0.000001
cd673 0.000009 0.000069 0.000001 0.000000
cd554 0.000032 0.000199 0.000007 0.000001
cd796 0.000026 0.000234 0.000011 0.000001
cd795 -0.000073 0.000291 0.000016 0.000001
cd314 0.000003 0.000019 0.000000 0.000000
cd435 -0.000002 0.000068 0.000001 0.000000
cd798 0.000040 0.000099 0.000002 0.000000
cd679 -0.000014 0.000082 0.000001 0.000000
cd678 0.000009 0.000053 0.000001 0.000000
cd318 -0.000004 0.000100 0.000002 0.000000
cd317 -0.000065 0.000277 0.000014 0.000001
cd581 0.000000 0.000000 0.000000 0.000000
cd580 -0.000002 0.000519 0.000053 0.000004
cd462 0.000682 0.000887 0.000160 0.000011
cd220 0.000019 0.000220 0.000010 0.000001
cd461 -0.000017 0.000080 0.000001 0.000000
cd464 0.000411 0.000800 0.000119 0.000009
cd585 0.000014 0.000099 0.000002 0.000000
cd584 -0.000008 0.000259 0.000014 0.000001
cd463 0.000035 0.000209 0.000009 0.000001
cd224 0.000000 0.000000 0.000000 0.000000
cd468 0.000026 0.000142 0.000004 0.000000
cd469 0.000080 0.000417 0.000031 0.000002
cd106 0.000006 0.000031 0.000000 0.000000
cd348 -0.000014 0.000130 0.000004 0.000000
cd691 0.000016 0.000189 0.000007 0.000001
cd571 -0.000042 0.000302 0.000019 0.000001
cd450 -0.000015 0.000095 0.000002 0.000000
cd453 -0.000115 0.000267 0.000014 0.000001
cd210 0.000029 0.000467 0.000043 0.000003
cd331 -0.000004 0.000033 0.000000 0.000000
cd576 0.000133 0.000801 0.000123 0.000009
cd454 -0.000008 0.000030 0.000000 0.000000
cd336 -0.000011 0.000823 0.000135 0.000010
cd699 -0.000001 0.000051 0.000001 0.000000
cd457 -0.000010 0.000147 0.000004 0.000000
cd698 0.000001 0.000175 0.000006 0.000000
cd214 -0.000019 0.000095 0.000002 0.000000
cd339 -0.000008 0.000103 0.000002 0.000000
ud196 -0.000012 0.000088 0.000002 0.000000
cd882 0.000021 0.000037 0.000000 0.000000
cd640 0.000005 0.000282 0.000015 0.000001
cd881 -0.000003 0.000282 0.000015 0.000001
cd400 -0.000017 0.000076 0.000001 0.000000
cd883 0.000000 0.000000 0.000000 0.000000
cd644 -0.000009 0.000045 0.000000 0.000000
cd765 -0.000057 0.000049 0.000001 0.000000
cd646 -0.000013 0.000119 0.000003 0.000000
cd766 -0.000012 0.000037 0.000000 0.000000
cd524 -0.000011 0.000098 0.000002 0.000000
cd406 0.000000 0.000000 0.000000 0.000000
cd769 -0.000001 0.000031 0.000000 0.000000
cd529 0.000486 0.000546 0.000058 0.000004
cd649 0.000009 0.000185 0.000006 0.000000
cd528 0.000029 0.000135 0.000004 0.000000
ud189 -0.000001 0.000081 0.000001 0.000000
cd871 -0.000012 0.000031 0.000000 0.000000
cd752 -0.000106 0.001399 0.000397 0.000029
cd630 0.000696 0.001359 0.000376 0.000028
cd512 -0.000003 0.000042 0.000000 0.000000
cd632 0.000110 0.000601 0.000067 0.000005
cd753 0.000033 0.000097 0.000002 0.000000
cd635 0.000004 0.000035 0.000000 0.000000
cd514 0.000064 0.001333 0.000322 0.000023
cd634 0.000040 0.000072 0.000001 0.000000
cd513 -0.002183 0.000706 0.000096 0.000007
cd636 -0.000003 0.000157 0.000005 0.000000
cd638 0.000045 0.000134 0.000004 0.000000
hl737 0.001921 0.003351 0.002335 0.000165
ud18 0.000194 0.000678 0.000092 0.000007
ud19 0.002103 0.003363 0.002303 0.000162
ud14 0.000992 0.002378 0.001205 0.000085
cd780 0.000126 0.000316 0.000020 0.000002
cd783 -0.000011 0.000191 0.000007 0.000001
cd541 -0.000022 0.000059 0.000001 0.000000
cd661 -0.000000 0.000068 0.000001 0.000000
cd785 0.000034 0.000044 0.000000 0.000000
