type,smell,hibernate-core-3.3.0.GA,hibernate-core-3.5.0-Final,hibernate-core-3.6.0.Final,hibernate-core-4.0.0.Final,hibernate-core-4.1.0.Final,hibernate-core-4.2.0.Final,hibernate-core-4.3.0.Final,hibernate-core-5.0.0.Final,hibernate-core-5.1.0.Final,hibernate-core-5.2.0.Final,hibernate-core-5.3.0.Final,hibernate-core-5.4.0.Final
cd,org.hibernate.collection.internal;org.hibernate.persister.entity;org.hibernate.type_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,470.0,409.0,543.0,
cd,org.hibernate.collection.internal;org.hibernate.persister.entity;org.hibernate.type_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,75.27066656407742,71.81195414497691,70.70520217884382,
cd,org.hibernate.collection.internal;org.hibernate.persister.entity;org.hibernate.type_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,3.0,3.0,3.0,
cd,org.hibernate.collection.internal;org.hibernate.persister.entity;org.hibernate.type_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1308.0,1496.0,1507.0,
cd,org.hibernate.property;org.hibernate.util;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.mapping_SeverityScore,-Infinity,316.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.property;org.hibernate.util;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.mapping_PageRank,-Infinity,99.30335798837808,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.property;org.hibernate.util;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.mapping_NumSetOfElement,-Infinity,6.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.property;org.hibernate.util;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.persister.entity;org.hibernate.mapping_TotNumOfSetOfElement,-Infinity,636.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl_SeverityScore,-Infinity,71.0,-Infinity,-Infinity,220.0,135.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl_PageRank,-Infinity,25.70666497345954,-Infinity,-Infinity,38.13712903678116,40.69023741790077,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl_NumSetOfElement,-Infinity,2.0,-Infinity,-Infinity,2.0,2.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl_TotNumOfSetOfElement,-Infinity,636.0,-Infinity,-Infinity,807.0,863.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.sql.ordering.antlr;org.hibernate.dialect.function;org.hibernate.engine.spi;org.hibernate.type_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,505.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.sql.ordering.antlr;org.hibernate.dialect.function;org.hibernate.engine.spi;org.hibernate.type_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,105.59080024363959,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.sql.ordering.antlr;org.hibernate.dialect.function;org.hibernate.engine.spi;org.hibernate.type_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,6.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.sql.ordering.antlr;org.hibernate.dialect.function;org.hibernate.engine.spi;org.hibernate.type_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1028.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.resource.transaction.backend.jta.internal;org.hibernate.resource.transaction.spi_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,156.0,103.0,
cd,org.hibernate.resource.transaction.backend.jta.internal;org.hibernate.resource.transaction.spi_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,22.635547826738218,22.0796020753262,
