Tipo ticket,Chiave di ticket,ID ticket,Riepilogo,Assegnatario,Reporter,Priorità,Stato,Risoluzione,Creato,Aggiornato
Miglioramento,HHH-12978,67671,Enum value binding is not logged by BasicBinder,mih_vlad,quaff,Triviale,Chiusa,Risolto,16/Sep/2018 20:44 PM,15/Nov/2018 05:43 AM
Bug,HHH-12711,67137,@BatchSize and hibernate.default_batch_fetch_size should affect eager loading of non-owning one-to-one relations,,adrodoc55,Importante,Aperto,,20/Jun/2018 07:55 AM,24/Jun/2018 05:46 AM
Bug,HHH-12709,67135,"Non-optional, non-owning side of a bidirectional OneToOne Relation ignores FetchType.LAZY",,adrodoc55,Importante,Chiusa,Non sarà risolta,20/Jun/2018 06:39 AM,24/Jun/2018 08:25 AM
Bug,HHH-12641,66956,Joined table values not persisted when using JOINED JPA inheritance after upgrade beyond 5.2.12,,lyor,Importante,Awaiting Response,,28/May/2018 02:12 AM,17/Oct/2018 08:27 AM
Bug,HHH-12624,66925,IntegrityConstraintViolation with Cascade Deletes and Batch-Size > 1,,stefan.mueller,Importante,Chiusa,Duplicato,24/May/2018 07:48 AM,27/Jun/2018 02:33 AM
Bug,HHH-12311,66208,OneToMany orphans are not removed from the DB,,daniyaryeralin,Importante,Aperto,,20/Feb/2018 12:20 PM,20/Feb/2018 12:22 PM
Bug,HHH-12186,65948,ORA-24816 still occurs for insert statements created by envers,crancran,marc.haebich,Importante,Chiusa,Out of Date,20/Dec/2017 06:34 AM,06/Mar/2018 11:38 AM
Bug,HHH-12051,65664,changed non-updatable attributes mark enhanced entity dirty ,lbarreiro,apinske,Importante,Chiusa,Risolto,22/Oct/2017 14:53 PM,06/Feb/2018 09:02 AM
Bug,HQLPARSER-76,65662,HQLParser generates erroneous MySQL query for join table.,,robert.f.peake,Minore,Aperto,,20/Oct/2017 13:04 PM,20/Oct/2017 13:04 PM
Bug,HHH-11711,59209,No batch-processing at bidirectional OneToMany-relation with @JoinTable,,flobuc,Importante,Risolta,Out of Date,02/May/2017 04:57 AM,26/Feb/2018 14:25 PM
Bug,HHH-11488,55905,PostgreSQL queries generated by Hibernate ignore @Table schema setting,,kmoradha,Importante,Aperto,,14/Feb/2017 07:30 AM,16/Feb/2017 18:58 PM
Bug,HHH-11141,50311,StoredProcedureQuery does map a Boolean to BIT (1 or 0) instead of true or false using Oracle (Dialect + Database),,tkrah,Importante,Chiusa,Rejected,29/Sep/2016 11:29 AM,04/Oct/2016 08:27 AM
Bug,HHH-10986,47319,relation not flushed when collection created after persist with enhanced entities,lbarreiro,apinske,Importante,Chiusa,Out of Date,22/Jul/2016 14:19 PM,28/Jan/2017 13:39 PM
Bug,HHH-10985,47318,ClassCastException when using enhanced entities,lbarreiro,apinske,Importante,Chiusa,Out of Date,22/Jul/2016 14:04 PM,28/Jan/2017 14:27 PM
Bug,HHH-10981,47313,Support private persistent attributes in @MappedSuperclas,lbarreiro,apinske,Importante,Chiusa,Risolto,21/Jul/2016 11:24 AM,14/Mar/2017 17:34 PM
Bug,HHH-10922,46040,flush triggers load when using enableDirtyTracking ,lbarreiro,apinske,Importante,Chiusa,Risolto,03/Jul/2016 15:24 PM,31/Jul/2016 22:08 PM
Miglioramento,HHH-10887,45714,Limit Joins on Inheritance when querying Collections,,pandaadb,Importante,Aperto,,23/Jun/2016 09:48 AM,06/Dec/2018 07:42 AM
Bug,HHH-10683,43034,Pooled id generation optimizer is causing ids from sequences to be reused,,silvaran,Minore,Awaiting Test Case,,13/Apr/2016 10:26 AM,13/Apr/2016 13:56 PM
Miglioramento,HHH-10655,42441,PostgreSQL CROSS JOIN DELETE,,librucha,Importante,Aperto,,29/Mar/2016 04:43 AM,13/Jul/2016 11:13 AM
Bug,HHH-10408,40835,Hibernate 5.0.6 Ignores schema in MySQL,,johnament,Importante,Chiusa,Rejected,03/Jan/2016 05:52 AM,06/Jan/2016 09:32 AM
Bug,HHH-10269,40123,JDBC Statement is not closed if exception appeared during query execution,gbadner,pashaz,Importante,Chiusa,Risolto,11/Nov/2015 08:31 AM,14/Mar/2016 19:10 PM
Bug,HHH-9963,38422,Unnecessary SELECT with second level cache,,romainmoreau,Importante,Chiusa,Out of Date,21/Jul/2015 09:59 AM,28/Oct/2015 08:02 AM
Bug,HHH-9934,38346,hbm2ddl does not log DDL statements anymore,,mkurz,Importante,Risolta,Rejected,16/Jul/2015 13:29 PM,24/Sep/2017 08:34 AM
Bug,HHH-9908,38235,Regression in naming collection join tables,steve,Polve,Importante,Chiusa,Risolto,08/Jul/2015 23:03 PM,29/Mar/2016 10:12 AM
Bug,HHH-9850,37743,Primary key generated for nullable column in sequence table,steve,janste,Minore,Chiusa,Risolto,05/Jun/2015 05:31 AM,05/Aug/2015 12:23 PM
Bug,HHH-9779,37434,Collection as parameter in MEMBER OF-clause fail when contains more than 1 element,,Jezyk,Importante,Risolta,Out of Date,07/May/2015 07:44 AM,17/Nov/2015 20:25 PM
Bug,HHH-9669,36819,EJB -> Spring JTA transaction - StaleObjectStateException is thrown when using @Version. (Update on merge operation runs twice),,gustavoddramos,Bloccante,Chiusa,Rejected,19/Mar/2015 16:40 PM,26/Aug/2015 13:53 PM
Bug,HHH-9399,34716,org.hibernate.StaleObjectStateException is thrown with simple parent child relationship,,jjangsam,Importante,Risolta,Rejected,15/Sep/2014 12:43 PM,17/Nov/2015 20:25 PM
Bug,HHH-8752,30624,Bean injection mechanism for MultiTenantConnectionProvider and TenantIdentifierResolver,,ceefour,Importante,Risolta,Non sarà risolta,27/Nov/2013 02:04 AM,13/Oct/2015 06:39 AM
Bug,HHH-8632,30118,"CriteriaBuilder#concat(Expression<String>, Expression<String>) produces wrong SQL expressions",,michael.simons,Importante,Awaiting Response,,22/Oct/2013 08:00 AM,14/Jan/2016 06:05 AM
