Parameter Mu_Star Mu Mu_Star_Conf Sigma
org.hibernate.jmx.internal 0.000 0.000 0.000 0.000
org.hibernate.event.spi 0.000 0.000 0.000 0.000
org.hibernate.proxy 0.001 0.001 0.000 0.000
org.hibernate 0.009 0.009 0.000 0.000
org.hibernate.engine 0.005 0.005 0.000 0.000
org.hibernate.persister.walking.internal 0.000 0.000 0.000 0.000
org.hibernate.jdbc 0.000 0.000 0.000 0.000
org.hibernate.resource.beans.container.internal 0.000 0.000 0.000 0.000
org.hibernate.persister.walking.spi 0.000 0.000 0.000 0.000
org.hibernate.resource.jdbc 0.000 0.000 0.000 0.000
org.hibernate.collection.spi 0.000 0.000 0.000 0.000
org.hibernate.exception 0.001 0.001 0.000 0.000
org.hibernate.id 0.001 0.001 0.000 0.000
org.hibernate.param 0.000 0.000 0.000 0.000
org.hibernate.bytecode.enhance.internal.javassist 0.000 0.000 0.000 0.000
org.hibernate.tuple 0.000 0.000 0.000 0.000
org.hibernate.resource.beans.spi 0.000 0.000 0.000 0.000
org.hibernate.persister.entity 0.005 0.005 0.000 0.000
org.hibernate.event.service.internal 0.000 0.000 0.000 0.000
org.hibernate.property.access.internal 0.000 0.000 0.000 0.000
org.hibernate.persister.collection 0.001 0.001 0.000 0.000
org.hibernate.bytecode.enhance.internal.bytebuddy 0.000 0.000 0.000 0.000
org.hibernate.dialect 0.001 0.001 0.000 0.000
org.hibernate.hql.internal 0.000 0.000 0.000 0.000
org.hibernate.metadata 0.000 0.000 0.000 0.000
org.hibernate.procedure 0.000 0.000 0.000 0.000
org.hibernate.jmx.spi 0.000 0.000 0.000 0.000
org.hibernate.boot 0.000 0.000 0.000 0.000
org.hibernate.criterion 0.000 0.000 0.000 0.000
org.hibernate.persister.internal 0.000 0.000 0.000 0.000
org.hibernate.pretty 0.002 0.002 0.000 0.000
org.hibernate.sql 0.001 0.001 0.000 0.000
org.hibernate.tool.enhance 0.000 0.000 0.000 0.000
org.hibernate.secure.spi 0.000 0.000 0.000 0.000
org.hibernate.event.internal 0.000 0.000 0.000 0.000
org.hibernate.resource.beans.container.spi 0.000 0.000 0.000 0.000
org.hibernate.bytecode.internal.bytebuddy 0.000 0.000 0.000 0.000
org.hibernate.cache 0.001 0.001 0.000 0.000
org.hibernate.context 0.000 0.000 0.000 0.000
org.hibernate.type 0.001 0.001 0.000 0.000
org.hibernate.resource.transaction 0.000 0.000 0.000 0.000
org.hibernate.bytecode.spi 0.000 0.000 0.000 0.000
org.hibernate.internal 0.001 0.001 0.000 0.000
org.hibernate.cfg 0.001 0.001 0.000 0.000
org.hibernate.mapping 0.002 0.002 0.000 0.000
org.hibernate.result 0.000 0.000 0.000 0.000
org.hibernate.stat 0.000 0.000 0.000 0.000
org.hibernate.action.internal 0.000 0.000 0.000 0.000
org.hibernate.tool.hbm2ddl 0.000 0.000 0.000 0.000
org.hibernate.resource.beans.internal 0.000 0.000 0.000 0.000
org.hibernate.service 0.001 0.001 0.000 0.000
org.hibernate.ejb 0.000 0.000 0.000 0.000
org.hibernate.jpa 0.000 0.000 0.000 0.000
org.hibernate.loader 0.001 0.001 0.000 0.000
org.hibernate.transform 0.000 0.000 0.000 0.000
org.hibernate.tool.instrument.javassist 0.000 0.000 0.000 0.000
org.hibernate.hql.spi 0.000 0.000 0.000 0.000
org.hibernate.property.access.spi 0.000 0.000 0.000 0.000
org.hibernate.tool.schema 0.000 0.000 0.000 0.000
org.hibernate.bytecode.enhance.spi 0.000 0.000 0.000 0.000
org.hibernate.lob 0.000 0.000 0.000 0.000
org.hibernate.action.spi 0.000 0.000 0.000 0.000
org.hibernate.usertype 0.000 0.000 0.000 0.000
org.hibernate.integrator.spi 0.000 0.000 0.000 0.000
org.hibernate.metamodel 0.000 0.000 0.000 0.000
org.hibernate.graph 0.000 0.000 0.000 0.000
org.hibernate.bytecode.enhance.internal.tracker 0.000 0.000 0.000 0.000
org.hibernate.query 0.000 0.000 0.000 0.000
org.hibernate.bytecode.internal.none 0.000 0.000 0.000 0.000
org.hibernate.collection.internal 0.000 0.000 0.000 0.000
