Parameter Mu_Star Mu Mu_Star_Conf Sigma
cd1701 0.000 0.000 0.000 0.000
cd1707 0.001 0.001 0.000 0.000
cd689 0.000 0.000 0.000 0.000
cd328 0.000 0.000 0.000 0.000
cd1715 0.000 0.000 0.000 0.000
cd670 0.000 0.000 0.000 0.000
cd799 0.000 0.000 0.000 0.000
cd318 0.000 0.000 0.000 0.000
cd1602 0.000 0.000 0.000 0.000
cd340 0.000 0.000 0.000 0.000
cd109 0.001 0.001 0.000 0.000
cd330 0.000 0.000 0.000 0.000
ud1708 0.000 0.000 0.000 0.000
hl863 0.002 0.002 0.000 0.000
ud189 0.000 0.000 0.000 0.000
cd755 0.000 0.000 0.000 0.000
cd516 0.000 0.000 0.000 0.000
cd759 0.000 0.000 0.000 0.000
cd771 0.000 0.000 0.000 0.000
cd533 0.000 0.000 0.000 0.000
cd778 0.000 0.000 0.000 0.000
cd417 0.000 0.000 0.000 0.000
cd418 0.000 0.000 0.000 0.000
ud706 0.001 0.001 0.000 0.000
ud1187 0.000 0.000 0.000 0.000
cd600 0.000 0.000 0.000 0.000
cd847 0.000 0.000 0.000 0.000
cd1679 0.000 0.000 0.000 0.000
cd1433 0.000 0.000 0.000 0.000
cd1319 0.000 0.000 0.000 0.000
ud959 0.002 0.002 0.000 0.000
cd950 0.001 0.001 0.000 0.000
cd1200 0.001 0.001 0.000 0.000
cd1687 0.000 0.000 0.000 0.000
cd1329 0.000 0.000 0.000 0.000
cd740 0.000 0.000 0.000 0.000
cd1337 0.000 0.000 0.000 0.000
cd1693 0.000 0.000 0.000 0.000
cd1218 0.000 0.000 0.000 0.000
cd610 0.000 0.000 0.000 0.000
cd1582 0.000 0.000 0.000 0.000
cd1506 0.000 0.000 0.000 0.000
cd928 0.000 0.000 0.000 0.000
ud1092 0.003 0.003 0.000 0.000
ud63 0.000 0.000 0.000 0.000
cd1646 0.000 0.000 0.000 0.000
cd1524 0.000 0.000 0.000 0.000
ud801 0.001 0.001 0.000 0.000
cd707 0.000 0.000 0.000 0.000
ud92 0.000 0.000 0.000 0.000
cd1415 0.000 0.000 0.000 0.000
ud818 0.001 0.001 0.000 0.000
cd935 0.000 0.000 0.000 0.000
cd1023 0.000 0.000 0.000 0.000
ud304 0.004 0.004 0.000 0.000
ud785 0.000 0.000 0.000 0.000
cd1159 0.000 0.000 0.000 0.000
cd1277 0.000 0.000 0.000 0.000
cd1033 0.000 0.000 0.000 0.000
ud1571 0.001 0.001 0.000 0.000
ud316 0.000 0.000 0.000 0.000
ud554 0.001 0.001 0.000 0.000
cd1161 0.000 0.000 0.000 0.000
cd1287 0.000 0.000 0.000 0.000
cd25 0.000 0.000 0.000 0.000
ud1121 0.000 0.000 0.000 0.000
ud569 0.005 0.005 0.000 0.000
cd1175 0.000 0.000 0.000 0.000
cd1291 0.000 0.000 0.000 0.000
cd1058 0.000 0.000 0.000 0.000
cd1297 0.000 0.000 0.000 0.000
cd1055 0.000 0.000 0.000 0.000
cd1224 0.000 0.000 0.000 0.000
cd47 0.000 0.000 0.000 0.000
ud748 0.000 0.000 0.000 0.000
cd1232 0.000 0.000 0.000 0.000
ud1258 0.001 0.001 0.000 0.000
cd32 0.000 0.000 0.000 0.000
ud1371 0.002 0.002 0.000 0.000
hl83 0.001 0.001 0.000 0.000
ud1045 0.000 0.000 0.000 0.000
ud1164 0.001 0.001 0.000 0.000
cd1491 0.000 0.000 0.000 0.000
cd1492 0.000 0.000 0.000 0.000
ud521 0.000 0.000 0.000 0.000
ud400 0.000 0.000 0.000 0.000
cd1138 0.000 0.000 0.000 0.000
cd1259 0.000 0.000 0.000 0.000
cd1254 0.001 0.001 0.000 0.000
cd1019 0.000 0.000 0.000 0.000
cd1142 0.000 0.000 0.000 0.000
cd161 0.000 0.000 0.000 0.000
ud1500 0.000 0.000 0.000 0.000
cd166 0.000 0.000 0.000 0.000
cd95 0.000 0.000 0.000 0.000
hl129 0.000 0.000 0.000 0.000
hl470 0.002 0.002 0.000 0.000
cd171 0.000 0.000 0.000 0.000
cd296 0.000 0.000 0.000 0.000
ud1545 0.002 0.002 0.000 0.000
cd121 0.000 0.000 0.000 0.000
cd123 0.000 0.000 0.000 0.000
cd369 0.000 0.000 0.000 0.000
cd247 0.000 0.000 0.000 0.000
ud105 0.000 0.000 0.000 0.000
ud344 0.000 0.000 0.000 0.000
hl103 0.001 0.001 0.000 0.000
ud583 0.001 0.001 0.000 0.000
cd1070 0.000 0.000 0.000 0.000
cd357 0.000 0.000 0.000 0.000
ud1440 0.002 0.002 0.000 0.000
ud368 0.000 0.000 0.000 0.000
ud262 0.000 0.000 0.000 0.000
cd499 0.000 0.000 0.000 0.000
cd9 0.001 0.001 0.000 0.000
hl1093 0.002 0.002 0.000 0.000
ud131 0.000 0.000 0.000 0.000
