Parameter S1 S1_conf ST ST_conf
org.hibernate.jmx.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.event.spi 0.000135 0.000862 0.000146 0.000011
org.hibernate.proxy 0.004710 0.004995 0.004594 0.000345
org.hibernate 0.564431 0.048785 0.566824 0.038689
org.hibernate.engine 0.162374 0.027074 0.161577 0.011510
org.hibernate.persister.walking.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.jdbc 0.001963 0.002838 0.001536 0.000111
org.hibernate.resource.beans.container.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.persister.walking.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.resource.jdbc 0.000000 0.000000 0.000000 0.000000
org.hibernate.collection.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.exception 0.002795 0.004187 0.003357 0.000245
org.hibernate.id 0.002278 0.003061 0.001946 0.000141
org.hibernate.param 0.000000 0.000000 0.000000 0.000000
org.hibernate.bytecode.enhance.internal.javassist 0.000000 0.000000 0.000000 0.000000
org.hibernate.tuple 0.001458 0.002829 0.001638 0.000121
org.hibernate.resource.beans.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.persister.entity 0.157182 0.027102 0.156293 0.011298
org.hibernate.event.service.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.property.access.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.persister.collection 0.002458 0.003494 0.002471 0.000182
org.hibernate.bytecode.enhance.internal.bytebuddy 0.000000 0.000000 0.000000 0.000000
org.hibernate.dialect 0.012422 0.008169 0.012774 0.000962
org.hibernate.hql.internal 0.000608 0.002067 0.000743 0.000056
org.hibernate.metadata 0.000000 0.000000 0.000000 0.000000
org.hibernate.procedure 0.000000 0.000000 0.000000 0.000000
org.hibernate.jmx.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.boot 0.000000 0.000000 0.000000 0.000000
org.hibernate.criterion 0.000784 0.002759 0.001574 0.000115
org.hibernate.persister.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.pretty 0.017973 0.009802 0.019077 0.001438
org.hibernate.sql 0.007444 0.006401 0.007349 0.000564
org.hibernate.tool.enhance 0.000000 0.000000 0.000000 0.000000
org.hibernate.secure.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.event.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.resource.beans.container.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.bytecode.internal.bytebuddy 0.000000 0.000000 0.000000 0.000000
org.hibernate.cache 0.001816 0.003545 0.002199 0.000163
org.hibernate.context -0.000140 0.001890 0.000728 0.000055
org.hibernate.type 0.012061 0.008031 0.011364 0.000837
org.hibernate.resource.transaction 0.000000 0.000000 0.000000 0.000000
org.hibernate.bytecode.spi -0.000077 0.000205 0.000008 0.000001
org.hibernate.internal 0.004231 0.004627 0.004322 0.000319
org.hibernate.cfg 0.003559 0.004632 0.003843 0.000286
org.hibernate.mapping 0.021770 0.009740 0.019336 0.001392
org.hibernate.result 0.000000 0.000000 0.000000 0.000000
org.hibernate.stat 0.000717 0.002057 0.000835 0.000061
org.hibernate.action.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.tool.hbm2ddl 0.001668 0.002630 0.001393 0.000103
org.hibernate.resource.beans.internal 0.000000 0.000000 0.000000 0.000000
org.hibernate.service 0.002395 0.003044 0.001800 0.000134
org.hibernate.ejb 0.000000 0.000000 0.000000 0.000000
org.hibernate.jpa 0.000000 0.000000 0.000000 0.000000
org.hibernate.loader 0.004011 0.004353 0.004001 0.000290
org.hibernate.transform 0.000000 0.000000 0.000000 0.000000
org.hibernate.tool.instrument.javassist 0.000000 0.000000 0.000000 0.000000
org.hibernate.hql.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.property.access.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.tool.schema 0.000000 0.000000 0.000000 0.000000
org.hibernate.bytecode.enhance.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.lob 0.000000 0.000000 0.000000 0.000000
org.hibernate.action.spi 0.000000 0.000000 0.000000 0.000000
org.hibernate.usertype 0.000000 0.000000 0.000000 0.000000
org.hibernate.integrator.spi 0.000074 0.000156 0.000005 0.000000
org.hibernate.metamodel 0.000962 0.001810 0.000680 0.000050
org.hibernate.graph 0.000000 0.000000 0.000000 0.000000
org.hibernate.bytecode.enhance.internal.tracker 0.000000 0.000000 0.000000 0.000000
org.hibernate.query 0.000000 0.000000 0.000000 0.000000
org.hibernate.bytecode.internal.none 0.000000 0.000000 0.000000 0.000000
org.hibernate.collection.internal 0.000026 0.000098 0.000002 0.000000
