Parameter S1 S1_conf ST ST_conf
cd1701 0.000034 0.000194 0.000007 0.000001
cd1707 0.010159 0.006150 0.007894 0.000603
cd689 -0.000023 0.000861 0.000163 0.000012
cd328 0.000056 0.000438 0.000038 0.000003
cd1715 -0.000110 0.000214 0.000008 0.000001
cd670 0.000000 0.000000 0.000000 0.000000
cd799 0.000064 0.000416 0.000033 0.000003
cd318 0.001335 0.002769 0.001756 0.000138
cd1602 -0.000101 0.000300 0.000017 0.000001
cd340 0.000038 0.000632 0.000074 0.000005
cd109 0.007432 0.006087 0.006946 0.000518
cd330 -0.000032 0.000678 0.000082 0.000006
ud1708 0.000991 0.002328 0.001031 0.000077
hl863 0.059579 0.016785 0.057785 0.004482
ud189 0.000000 0.000000 0.000000 0.000000
cd755 0.000063 0.000785 0.000112 0.000008
cd516 -0.000013 0.000179 0.000006 0.000000
cd759 -0.000198 0.000220 0.000009 0.000001
cd771 0.000398 0.001188 0.000255 0.000018
cd533 0.000098 0.000461 0.000043 0.000003
cd778 -0.000083 0.000287 0.000014 0.000001
cd417 -0.000034 0.000078 0.000001 0.000000
cd418 0.000083 0.000930 0.000158 0.000012
ud706 0.004386 0.004728 0.004484 0.000349
ud1187 0.000168 0.000789 0.000129 0.000010
cd600 0.000002 0.000128 0.000004 0.000000
cd847 0.002131 0.003111 0.002062 0.000158
cd1679 0.000011 0.000388 0.000032 0.000002
cd1433 0.000101 0.000372 0.000025 0.000002
cd1319 0.000707 0.001847 0.000677 0.000051
ud959 0.044096 0.014389 0.039956 0.003092
cd950 0.004887 0.004885 0.004611 0.000354
cd1200 0.003589 0.003855 0.003191 0.000258
cd1687 0.000315 0.001522 0.000421 0.000031
cd1329 0.000252 0.001333 0.000333 0.000026
cd740 -0.000083 0.000194 0.000008 0.000001
cd1337 0.000024 0.000165 0.000006 0.000000
cd1693 -0.000027 0.000172 0.000006 0.000001
cd1218 0.000217 0.000699 0.000103 0.000008
cd610 0.000235 0.001057 0.000228 0.000017
cd1582 -0.000103 0.000347 0.000025 0.000002
cd1506 0.000876 0.002328 0.001137 0.000088
cd928 -0.000225 0.001202 0.000256 0.000019
ud1092 0.079800 0.020178 0.086509 0.006657
ud63 0.000049 0.000204 0.000008 0.000001
cd1646 0.001322 0.003156 0.001971 0.000151
cd1524 0.000353 0.001009 0.000205 0.000015
ud801 0.004192 0.005107 0.005321 0.000400
cd707 0.000007 0.000276 0.000014 0.000001
ud92 0.000306 0.002581 0.001277 0.000095
cd1415 -0.000044 0.000140 0.000004 0.000000
ud818 0.008927 0.006889 0.008689 0.000653
cd935 -0.000008 0.000282 0.000015 0.000001
cd1023 0.000023 0.000261 0.000014 0.000001
ud304 0.224632 0.031888 0.214257 0.016326
ud785 0.000056 0.000106 0.000002 0.000000
cd1159 0.000011 0.000185 0.000006 0.000001
cd1277 0.000291 0.001826 0.000668 0.000050
cd1033 0.001706 0.002832 0.001487 0.000117
ud1571 0.006509 0.005444 0.005819 0.000446
ud316 0.000052 0.000560 0.000063 0.000005
ud554 0.014916 0.008978 0.015565 0.001142
cd1161 0.000076 0.000677 0.000082 0.000006
cd1287 -0.000197 0.001114 0.000233 0.000017
cd25 -0.000017 0.000137 0.000004 0.000000
ud1121 0.000220 0.001231 0.000315 0.000023
ud569 0.261417 0.033128 0.261799 0.018934
cd1175 -0.000038 0.000136 0.000003 0.000000
cd1291 0.000297 0.000762 0.000111 0.000008
cd1058 -0.000011 0.000141 0.000004 0.000000
cd1297 0.000282 0.000814 0.000126 0.000010
cd1055 0.000442 0.001544 0.000501 0.000039
cd1224 -0.000014 0.000139 0.000004 0.000000
cd47 0.000003 0.000213 0.000008 0.000001
ud748 0.000127 0.000575 0.000067 0.000005
cd1232 0.000212 0.001042 0.000186 0.000014
ud1258 0.008353 0.006261 0.008319 0.000649
cd32 0.000066 0.000289 0.000018 0.000001
ud1371 0.043726 0.014957 0.043768 0.003273
hl83 0.015569 0.008886 0.015422 0.001168
ud1045 0.000198 0.000781 0.000112 0.000008
ud1164 0.004445 0.004971 0.004620 0.000343
cd1491 0.000269 0.001156 0.000226 0.000017
cd1492 0.000125 0.000466 0.000040 0.000003
ud521 0.000319 0.000940 0.000180 0.000014
ud400 0.000446 0.000866 0.000143 0.000011
cd1138 0.000038 0.000255 0.000012 0.000001
cd1259 -0.000312 0.000683 0.000097 0.000007
cd1254 0.003203 0.003964 0.003380 0.000260
cd1019 -0.000018 0.000161 0.000004 0.000000
cd1142 0.000015 0.000346 0.000022 0.000002
cd161 -0.000167 0.000610 0.000074 0.000006
ud1500 0.000101 0.000470 0.000043 0.000003
cd166 -0.000024 0.000148 0.000004 0.000000
cd95 0.000106 0.000520 0.000052 0.000004
hl129 -0.000010 0.000559 0.000062 0.000005
hl470 0.051693 0.016783 0.052181 0.003954
cd171 -0.000014 0.000134 0.000004 0.000000
cd296 -0.000018 0.000114 0.000003 0.000000
ud1545 0.031307 0.012976 0.029627 0.002262
cd121 -0.000035 0.000388 0.000031 0.000002
cd123 0.000313 0.001185 0.000291 0.000022
